,Date,Financial Statement Present,NET PROFIT MARGIN,GROSS MARGIN,INTEREST EXPENSE,REVENUE,EBITDA MARGIN,DIVIDEND PER SHARE,INCOME TAX EXPENSE,1465_APR22,365_APR22,22312_Q2 21,4173_APR22,425_OCT22,3432_FEB22,3970_APR22,491_MAY22,1887_Q4 21,95_APR22,5740_APR22,2527_SEP21,1886_APR22,1753_APR22,5739_APR22,23416_APR22,5629_APR22,5028_APR22,10_APR22,21774_APR22,19237_APR22,4362_APR22,19327_APR22,1885_APR22,23493_SEP21,2572_APR22,5506_SEP21,19241_APR22,18399_APR22,3190_APR22,15544_APR22,5038_APR22,23612_APR22,3976_APR22,3253_APR22,3563_APR22,25743_APR22,1887_APR22,4075_APR22,4361_APR22,4177_APR22,2571_APR22,5631_APR22,5039_APR22,23414_APR22,4987_AUG21,3558_APR22,2537_SEP21,4178_Q3 21,19082_APR22,18410_APR22,15542_APR22,5500_SEP21,2536_SEP21,2532_SEP21,4360_APR22,3193_APR22,5264_APR22,124_APR22,1743_APR22,4671_APR22,3072_APR22,2529_SEP21,22317_MAR22,4672_APR22,5034_APR22,23607_APR22,3442_APR22,23776_APR22,2466_APR22,20096_APR22,1756_AUG21,13_APR22,1884_APR22,3971_APR22,5509_SEP21,5040_APR22,2533_SEP21,23490_SEP21,5272_APR22,3254_APR22,5729_APR22,19239_APR22,5037_APR22,22311_DEC22,3441_APR22,22_APR22,491_SEP22,2922_APR22,5278_APR22,19474_APR22,19465_APR22,15549_APR22,19087_APR22,18601_APR22,3090_APR22,23789_APR22,21781_APR22,4354_APR22,21766_APR22
125,2021-02-03,,,,,,,,,-3.16,308.0,95.92,286.25,49.74,477.18,59.11,1.66,17.67,50.95,-3.2,,471.83,-1.0,50.8,52.28,,50.84,54.0,490.19,-0.11,7.86,51.19,-3.2,,481.69,,-18.25,490.19,1.23,-0.14,62.54,-0.04,1.59,9.08,476.25,-76.69,19.75,0.12,6.71,10.52,480.44,,452.08,22.75,,509.0,,-7.36,9.7,-1.28,-0.04,,,,5.11,-8.2,471.83,62.54,51.19,510.5,1.64,,,507.44,1.64,421.5,32.0,386.12,508.44,-0.99,,50.84,452.08,60.71,,432.12,,,50.95,-0.16,10.52,432.12,508.44,412.5,33.0,286.25,1.65,15.59,853.19,0.26,308.0,,47.3,0.4,0.58,402.7,1.12,60.66,8.39
126,2021-02-04,,,,,,,,,-3.16,310.5,97.08,288.25,50.01,477.43,59.52,1.67,18.67,51.2,-3.25,,474.25,-0.75,51.04,52.71,,51.13,54.29,491.85,-0.11,7.98,51.5,-3.25,,482.1,,-18.25,491.85,1.41,-0.14,62.58,-0.04,1.6,9.21,479.0,-74.35,20.0,0.19,6.83,10.44,480.85,,454.25,24.25,,511.15,,-7.16,9.46,-1.29,-0.04,,,,5.23,-8.14,474.25,62.58,51.5,512.65,1.65,,,509.35,1.65,425.75,33.5,382.77,510.1,-1.0,,51.13,454.25,61.12,,434.28,,,51.2,-0.16,10.44,434.28,510.1,415.75,34.25,288.25,1.66,15.72,862.89,0.24,310.5,0.01,47.65,0.4,0.59,406.61,1.12,61.16,8.42
127,2021-02-05,,,,,,,,,-3.17,312.25,93.92,290.0,50.27,486.01,59.78,1.68,18.0,51.45,-3.35,,475.97,-0.75,51.29,53.13,,51.47,54.64,499.94,-0.12,7.9,51.86,-3.35,,490.19,,-18.25,499.94,1.49,-0.12,63.55,-0.04,1.59,9.23,482.5,-84.44,19.5,0.2,6.75,11.12,489.19,,456.47,28.75,,513.93,,-7.14,10.08,-1.41,-0.04,,,,5.15,-8.16,475.97,63.55,51.86,515.18,1.65,,,517.44,1.65,428.25,33.5,381.79,518.19,-1.16,,51.47,456.47,61.38,,436.51,,,51.45,-0.16,11.12,436.51,518.19,418.25,34.25,290.0,1.67,15.74,867.3,0.33,312.25,0.01,47.98,0.4,0.59,409.19,1.1,60.95,8.32
128,2021-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,2021-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,2021-02-08,,,,,,,,,-3.31,318.0,101.5,296.5,51.09,491.26,60.83,1.7,18.75,52.41,-3.39,,485.83,-0.75,52.26,54.13,,52.34,55.65,504.94,-0.12,7.93,52.75,-3.39,,495.44,,-18.25,504.94,1.62,-0.12,64.2,-0.04,1.63,9.41,491.75,-76.44,20.75,0.12,6.78,10.75,494.44,,465.08,25.0,,523.47,,-7.12,9.69,-1.46,-0.04,,,,5.18,-8.21,485.83,64.2,52.75,524.72,1.68,,,522.44,1.68,437.75,33.25,375.58,523.19,-1.06,,52.34,465.08,62.43,,445.11,,,52.41,-0.16,10.75,445.11,523.19,429.5,34.0,296.5,1.7,15.92,881.19,0.28,317.5,0.01,48.94,0.45,0.57,419.17,1.1,61.89,8.45
131,2021-02-09,,,,,,,,,-3.39,320.0,103.0,298.75,51.33,494.26,61.09,1.71,18.08,52.49,-3.65,,485.24,-0.75,52.33,54.47,,52.59,55.98,508.94,-0.12,7.86,53.0,-3.65,,498.44,,-18.25,508.94,1.21,-0.12,64.26,-0.04,1.62,9.4,493.75,-75.94,19.5,0.05,6.71,10.92,497.19,,465.74,24.0,,525.46,,-7.22,9.44,-1.77,-0.04,,,,5.11,-8.17,485.24,64.26,53.0,526.71,1.69,,,526.44,1.69,440.0,34.5,375.94,527.19,-1.46,,52.59,465.74,62.69,,445.77,,,52.49,-0.16,10.92,445.77,527.19,431.75,35.25,298.75,1.7,15.91,904.78,0.11,319.25,0.01,49.31,0.45,0.58,422.04,1.11,63.22,8.36
132,2021-02-10,,,,,,,,,-3.38,321.0,104.75,301.0,51.59,499.01,61.17,1.72,18.17,52.42,-3.96,,484.68,-1.0,52.27,54.73,,52.85,56.23,513.19,-0.12,7.69,53.26,-3.96,,502.94,,-18.25,513.19,1.54,-0.14,65.01,-0.04,1.57,9.41,497.25,-77.19,19.5,0.12,6.54,11.21,501.94,,465.18,22.5,,525.95,,-7.07,9.97,-1.66,-0.04,,,,4.94,-8.03,484.68,65.01,53.26,527.2,1.7,,,530.44,1.7,442.0,33.75,375.36,531.44,-1.77,,52.85,465.18,62.77,,445.21,,,52.42,-0.16,11.21,445.21,531.44,429.25,34.75,301.0,1.71,15.92,899.04,-0.03,320.75,0.01,49.7,0.45,0.59,426.43,1.06,65.53,8.32
133,2021-02-11,,,,,,,,,-3.33,319.0,103.92,298.75,51.42,499.01,61.06,1.71,18.75,52.13,-3.99,,482.07,-1.0,51.97,54.45,,52.63,55.96,513.94,-0.11,7.85,53.01,-3.99,,503.19,,-18.25,513.94,1.31,-0.14,65.04,-0.04,1.61,9.25,495.0,-78.69,19.5,0.15,6.7,11.58,502.19,,462.57,22.25,,524.2,,-7.0,10.24,-1.66,-0.04,,,,5.1,-8.12,482.07,65.04,53.01,525.45,1.69,,,531.19,1.69,440.5,34.25,370.11,532.19,-1.79,,52.63,462.57,62.66,,442.6,,,52.13,-0.16,11.58,442.6,532.19,427.0,35.25,298.75,1.7,15.76,892.65,-0.06,318.75,0.01,49.34,0.4,0.58,421.58,1.06,66.38,8.38
134,2021-02-12,,,,,,,,,-3.35,324.75,103.42,303.75,51.95,499.26,62.0,1.73,18.0,52.91,-3.85,,489.23,-0.25,52.75,55.11,,53.25,56.6,514.19,-0.11,8.15,53.68,-3.85,,503.19,,-18.25,514.19,1.34,-0.14,65.05,-0.04,1.63,9.56,501.25,-72.94,19.75,0.15,7.0,10.97,502.19,,469.48,22.5,,532.84,,-6.95,9.56,-1.65,-0.04,,,,5.4,-7.96,489.23,65.05,53.68,534.09,1.71,,,532.19,1.71,446.5,35.25,371.58,532.44,-1.63,,53.25,469.48,63.6,,449.51,,,52.91,-0.16,10.97,449.51,532.44,433.0,35.5,303.75,1.72,16.07,895.08,-0.24,324.5,0.01,50.14,0.45,0.56,430.03,1.03,68.11,8.78
135,2021-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,2021-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,2021-02-15,,,,,,,,,-3.33,327.25,106.33,306.75,52.52,508.69,62.76,1.75,18.0,53.55,-3.82,,493.94,-0.25,53.39,55.65,,53.88,57.21,522.36,-0.12,8.31,54.32,-3.82,,511.61,,-18.25,522.36,1.2,-0.14,66.23,-0.04,1.63,9.84,506.25,-75.61,18.75,0.16,7.16,11.4,510.61,,475.19,20.5,,538.48,,-6.95,10.16,-1.6,-0.04,,,,5.56,-8.1,493.94,66.23,54.32,539.73,1.73,,,540.36,1.73,450.25,35.0,368.16,540.61,-1.71,,53.88,475.19,64.36,,455.22,,,53.55,-0.16,11.4,455.22,540.61,430.5,35.25,306.75,1.74,16.35,895.08,-0.23,327.25,0.01,50.61,0.45,0.57,435.21,1.03,67.04,8.73
138,2021-02-16,,,,,,,,,-3.37,327.75,106.92,306.75,52.57,507.1,62.82,1.75,18.25,53.57,-3.88,,495.38,-0.25,53.41,55.7,,53.92,57.29,521.36,-0.1,8.38,54.35,-3.88,,510.36,,-18.5,521.36,1.5,-0.13,66.07,-0.04,1.66,9.91,506.75,-74.86,20.0,0.21,7.18,11.22,509.36,,475.38,21.5,,539.93,,-7.27,9.92,-1.59,-0.04,,,,5.53,-8.25,495.38,66.07,54.35,541.18,1.74,,,539.61,1.74,450.75,35.5,369.03,539.86,-1.63,,53.92,475.38,64.47,,455.41,,,53.57,-0.16,11.22,455.41,539.86,432.5,35.75,306.75,1.74,16.42,913.15,-0.33,327.75,0.01,50.53,0.45,0.57,436.01,1.06,68.31,8.82
139,2021-02-17,,,,,,,,,-3.41,330.75,108.58,309.75,52.8,508.94,63.46,1.76,18.25,53.91,-3.88,,498.13,-0.25,53.75,56.16,,54.22,57.63,522.86,-0.12,8.68,54.68,-3.88,,512.11,,-18.5,522.86,1.39,-0.12,66.26,-0.04,1.66,9.91,510.25,-72.36,19.75,0.15,7.38,11.07,510.86,,478.38,21.5,,544.86,,-7.17,9.92,-1.64,-0.04,,,,5.83,-8.11,498.13,66.26,54.68,546.11,1.76,,,541.11,1.76,455.0,35.25,367.89,541.36,-1.66,,54.22,478.38,65.01,,458.41,,,53.91,-0.16,11.07,458.41,541.36,437.75,35.5,309.75,1.75,16.41,910.73,-0.33,331.0,0.01,51.02,0.5,0.64,437.85,1.06,70.23,9.07
140,2021-02-18,,,,,,,,,-3.39,329.25,111.5,308.25,52.66,513.78,63.01,1.76,19.25,53.81,-3.73,,498.3,-0.25,53.66,55.86,,54.0,57.39,527.7,-0.11,8.47,54.44,-3.73,,516.7,,-18.25,527.7,1.44,-0.12,66.82,-0.04,1.65,10.02,509.25,-78.45,20.75,0.17,7.17,11.9,515.45,,477.55,21.75,,543.22,,-7.39,10.73,-1.66,-0.04,,,,5.62,-8.21,498.3,66.82,54.44,544.47,1.76,,,545.7,1.76,453.5,35.5,357.02,545.95,-1.4,,54.0,477.55,64.56,,457.58,,,53.81,-0.16,11.9,457.58,545.95,435.5,35.75,308.25,1.75,16.64,910.95,-0.38,329.5,0.01,50.68,0.45,0.65,435.75,1.06,69.43,9.12
141,2021-02-19,,,,,,,,,-3.45,323.25,113.75,302.75,52.34,509.19,62.37,1.75,19.33,53.24,-3.89,,492.98,-0.25,53.09,55.44,,53.53,56.98,523.61,-0.11,8.24,53.93,-3.89,,512.61,,-18.25,523.61,0.98,-0.14,66.24,-0.04,1.65,9.87,504.5,-79.36,20.5,0.12,6.94,11.79,511.36,,472.48,23.25,,537.22,,-7.92,10.64,-1.7,-0.04,,,,5.39,-8.67,492.98,66.24,53.93,538.47,1.74,,,541.61,1.74,450.0,35.5,363.57,541.86,-1.59,,53.53,472.48,63.92,,452.52,,,53.24,-0.16,11.79,452.52,541.86,432.75,35.75,302.75,1.74,16.48,920.65,-0.44,323.5,0.01,49.81,0.4,0.69,430.98,1.1,68.48,8.8
142,2021-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,2021-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,2021-02-22,,,,,,,,,-3.53,334.25,114.08,313.75,53.64,515.69,64.5,1.79,19.5,55.23,-3.5,,510.38,-0.5,55.07,57.05,,55.04,58.57,530.61,-0.14,8.83,55.5,-3.5,,519.11,,-18.25,530.61,1.28,-0.14,67.07,-0.04,1.65,9.97,517.25,-72.61,20.25,0.1,7.53,11.09,517.86,,490.13,23.0,,555.19,,-8.07,9.92,-1.74,-0.04,,,,5.93,-8.52,510.38,67.07,55.5,556.44,1.78,,,548.36,1.78,463.0,35.75,378.73,548.86,-1.22,,55.04,490.13,66.1,,470.17,,,55.23,-0.16,11.09,470.17,548.86,445.75,36.25,313.75,1.78,16.58,929.03,-0.56,334.0,0.01,51.55,0.5,0.71,443.61,1.11,69.31,9.43
145,2021-02-23,,,,,,,,,-3.55,335.5,116.83,314.0,53.87,519.78,64.48,1.79,19.33,55.13,-3.85,,508.26,-0.5,54.97,57.05,,55.27,58.82,534.61,-0.12,8.56,55.73,-3.85,,522.86,,-18.25,534.61,1.23,-0.13,67.7,-0.04,1.65,9.86,518.5,-75.36,19.0,0.25,7.26,11.34,521.61,,489.26,23.0,,554.79,,-8.25,10.28,-1.61,-0.04,,,,5.66,-8.72,508.26,67.7,55.73,556.04,1.79,,0.15,552.36,1.79,464.0,36.0,386.91,552.86,-1.71,,55.27,489.26,66.08,,469.29,,,55.13,-0.16,11.34,469.29,552.86,446.75,36.5,314.0,1.78,16.48,938.07,-0.67,335.5,0.01,51.6,0.5,0.7,445.03,1.15,69.28,9.07
146,2021-02-24,,,,,,,,,-3.45,343.75,117.0,322.5,55.3,529.78,65.73,1.83,19.75,56.51,-3.85,,522.02,-0.25,56.35,58.52,,56.75,60.2,544.61,-0.12,8.48,57.24,-3.85,,532.86,,-18.25,544.61,1.66,-0.14,69.05,-0.04,1.66,10.0,529.0,-74.61,20.5,0.26,7.18,11.23,531.61,,501.52,22.0,,566.86,,-8.27,10.23,-1.61,-0.04,,,,5.53,-8.61,522.02,69.05,57.24,568.11,1.82,,0.15,562.61,1.82,473.75,36.25,400.49,562.86,-1.55,,56.75,501.52,67.38,,481.55,,,56.51,-0.16,11.23,481.55,562.86,459.25,36.5,322.5,1.82,16.61,952.18,-0.79,344.0,0.01,53.09,0.5,0.69,454.77,1.18,69.09,9.14
147,2021-02-25,,,,,,,,,-3.34,341.75,116.08,320.5,55.33,531.78,65.73,1.83,20.25,56.49,-3.8,,522.34,-0.25,56.33,58.53,,56.79,60.13,548.11,-0.13,8.56,57.28,-3.8,,534.86,,-18.25,548.11,1.48,-0.14,69.43,-0.04,1.64,10.02,528.5,-78.61,21.0,0.32,7.26,11.75,533.61,,501.34,23.75,,565.61,,-8.49,10.66,-1.49,-0.04,,,,5.61,-8.9,522.34,69.43,57.28,566.86,1.82,,0.15,566.11,1.82,473.5,37.75,388.32,566.36,-1.44,,56.79,501.34,67.38,,481.37,,,56.49,-0.16,11.75,481.37,566.36,459.25,38.0,320.5,1.82,16.64,951.51,-0.75,341.75,0.01,52.73,0.5,0.68,452.55,1.17,68.78,9.15
148,2021-02-26,,,,,,,,,-3.44,331.5,113.5,309.75,53.76,522.94,64.19,1.78,20.75,55.1,-3.6,,510.76,-0.5,54.95,56.89,,55.11,58.55,538.36,-0.12,8.59,55.56,-3.6,,526.36,,-18.25,538.36,1.83,-0.15,68.26,-0.04,1.64,9.68,515.25,-82.11,21.75,0.31,7.29,12.09,525.11,,489.01,22.75,,551.18,,-8.52,11.24,-1.52,-0.04,,,,5.64,-8.47,510.76,68.26,55.56,552.43,1.79,,0.15,556.11,1.79,460.5,36.25,372.64,556.61,-1.16,,55.11,489.01,65.84,,469.04,,,55.1,-0.16,12.09,469.04,556.61,448.0,36.75,309.75,1.77,16.29,951.96,-0.51,331.75,0.01,51.58,0.5,0.77,442.61,1.19,67.17,9.06
149,2021-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,2021-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,2021-03-01,,,,,,,,,-3.49,327.25,111.55,306.0,53.28,520.19,63.46,1.77,21.0,54.64,-3.54,61.95,507.15,-0.5,54.48,56.24,-1.5,54.54,58.02,535.28,-0.13,8.39,54.96,-3.54,122.3,523.78,5.25,-18.25,535.28,1.57,-0.15,67.92,-0.04,1.63,9.5,509.0,-82.22,22.25,0.32,7.09,12.22,522.53,-0.64,484.9,21.42,,545.81,-5.62,-8.5,11.43,-1.51,-0.04,26.75,4.6,10.23,5.44,-9.18,507.15,67.92,54.96,547.06,1.78,51.72,0.15,553.03,1.78,456.47,35.75,368.77,553.53,-1.04,,54.54,484.9,65.11,4.0,464.93,0.31,448.8,54.64,-0.16,12.22,464.93,553.53,444.97,36.25,306.0,1.76,16.12,946.0,-0.53,327.0,0.01,50.34,0.45,0.77,436.12,1.21,66.66,9.03
152,2021-03-02,,,,,,,,,-3.48,323.5,111.67,302.75,53.15,511.85,62.94,1.76,21.25,54.22,-3.69,61.02,503.2,-0.5,54.07,55.86,-1.5,54.27,57.75,528.69,-0.13,8.14,54.64,-3.69,120.5,515.94,5.25,-17.5,528.69,0.95,-0.15,66.76,-0.04,1.66,9.46,505.75,-81.19,22.0,0.22,6.84,11.56,514.69,-0.74,481.2,23.25,0.17,543.51,-5.92,-8.69,10.6,-1.62,-0.04,27.0,4.21,10.13,5.19,-9.52,503.2,66.76,54.64,544.76,1.77,50.89,0.15,545.69,1.77,451.5,36.25,366.34,546.19,-1.21,-0.22,54.27,481.2,64.59,4.0,461.23,0.18,442.5,54.22,-0.16,11.56,461.23,546.19,439.0,36.75,302.75,1.76,16.18,946.88,-0.01,326.0,0.01,49.73,0.4,0.8,431.24,1.27,67.82,9.0
153,2021-03-03,,,,,,,,,-3.38,332.5,110.67,311.75,54.21,515.85,64.07,1.79,19.67,55.39,-3.6,62.65,512.56,-0.5,55.23,57.05,-1.5,55.45,58.83,532.19,-0.13,8.15,55.86,-3.6,119.5,520.19,5.25,-17.75,532.19,1.45,-0.15,67.34,-0.04,1.66,9.64,514.25,-76.69,21.0,0.25,6.89,10.96,518.94,-0.79,491.56,23.18,0.26,554.18,-5.75,-8.39,10.04,-1.61,-0.04,26.0,4.45,10.2,5.24,-9.2,512.56,67.34,55.86,555.43,1.8,52.45,0.15,549.44,1.8,460.18,35.75,366.41,549.94,-1.24,-0.16,55.45,491.56,65.72,4.0,471.59,0.16,451.5,55.39,-0.16,10.96,471.59,549.94,447.43,36.25,311.75,1.79,16.36,953.5,0.03,329.52,0.01,51.13,0.45,0.77,439.41,1.26,67.62,9.14
154,2021-03-04,,,,,,,,,-3.48,343.5,110.58,323.75,55.33,530.44,66.2,1.84,19.0,56.56,-3.93,65.0,522.0,-0.5,56.4,58.49,-1.5,56.86,60.34,546.53,-0.12,8.77,57.36,-3.93,121.0,534.28,,-17.5,546.53,1.89,-0.15,69.27,-0.05,1.67,9.8,527.0,-74.78,,0.22,7.51,11.24,533.28,-0.82,502.0,23.25,0.46,566.96,-5.3,,10.36,-1.57,-0.04,26.25,4.83,10.13,5.86,-8.68,522.0,69.27,57.36,568.21,1.85,54.88,0.15,563.53,1.85,476.25,35.75,356.98,564.03,-1.69,-0.07,,502.0,67.85,3.75,482.03,0.31,467.5,56.56,-0.17,11.24,482.03,564.03,,36.25,323.75,1.83,16.93,968.27,-0.09,340.52,0.01,53.15,0.55,0.71,456.72,1.3,69.97,9.17
155,2021-03-05,,,,,,,,,-3.4,354.0,109.75,334.25,56.91,539.86,68.0,1.88,,58.49,,67.09,538.44,-0.5,58.34,60.29,-1.47,58.6,62.0,555.45,-0.13,8.92,59.14,-3.66,121.75,542.7,,-17.5,555.45,2.17,-0.16,70.44,-0.05,1.71,9.99,541.75,-71.95,,0.24,7.66,10.71,541.7,-0.82,519.19,24.75,0.64,584.57,-5.37,,9.98,-1.54,-0.04,27.5,4.78,10.15,6.01,-8.55,538.44,70.44,59.14,585.82,1.9,56.94,0.15,572.45,1.9,489.0,36.25,352.26,572.95,-1.5,0.04,,519.19,69.65,4.0,499.22,0.28,481.5,58.49,-0.17,10.71,499.22,572.95,,36.75,334.25,1.87,17.13,992.08,-0.3,351.27,0.01,54.94,0.55,0.77,467.63,1.28,70.38,9.62
156,2021-03-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,2021-03-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,2021-03-08,,,,,,,,,,,,,,,,,,57.79,,,,,,,-1.47,58.1,,,,8.6,,,,544.2,,,,,,,,,,,,,,7.34,,543.2,-0.81,,,,,-5.6,,,,,,,,5.69,-8.71,,70.69,58.62,,,56.04,,,,,,,,,,,,68.85,4.0,,0.21,,,,,,,,,,,,,,,,,,,,,,
